technology,type,design,parameter,year,value,unit,source,note,reference,ref_size_MW,EP_ratio_h
Concrete-Power,thermal,,FOM,2030,3.476335,$/kW-year,25,"not provided, calculated as for hydrogen",p 104 (p.126),1000,24
Concrete-Power,thermal,,efficiency,2030,0.43,,25,"RTE, assume 99% for charge, and other for discharge",p.107 (p.129),1000,24
Concrete-Power,thermal,,lifetime,2030,35,years,25,,p.107 (p.129),1000,24
Concrete-Energy,thermal,,lifetime,2030,35,years,25,,p.107 (p.129),1000,24
Concrete-Energy,thermal,,investment,2021,24.4,$/kWh,25,Molten Salt SB and BOS,p.101 (p.123),1000,24
Concrete-Power,thermal,,investment,2021,1029.6,$/kW,25,Power Equipment ,p.101 (p.123),1000,24
Concrete-Power,thermal,,investment,2021,205.92,$/kW,"22, 27",Power Equipment Charge,Guesstimate that charge is 20% of capital costs of power components for sensible thermal storage,,
Concrete-Power,thermal,,investment,2021,823.68,$/kW,"22, 27",Power Equipment Discharge,Guesstimate that charge is 80% of capital costs of power components for sensible thermal storage,,
Concrete-Energy,thermal,,investment,2021,8,$/kWh,25,EPC fee,p.101 (p.123),1000,24
Concrete-Energy,thermal,,FOM,2021,0.10492,$/kWh-year,25,"not provided, calculated as for hydrogen",p 104 (p.126),1000,24
Concrete-Power,thermal,,FOM,2021,4.42728,$/kW-year,25,"not provided, calculated as for hydrogen",p 104 (p.126),1000,24
Concrete-Power,thermal,,efficiency,2021,0.41,,25,"RTE, assume 99% for charge, and other for discharge",p.107 (p.129),1000,24
Concrete-Power,thermal,,lifetime,2021,35,years,25,,p.107 (p.129),1000,24
Concrete-Energy,thermal,,lifetime,2021,35,years,25,,p.107 (p.129),1000,24
